CustomerID,CustomerName,CustomerEmail,CustomerAddress,CustomerPhone
8e8dc0d9-1196-4f81-b74b-0e8ce6ce6cc8,Christopher Nolan,rhanna@example.net,"30717 Wheeler Corners
Robinsonfort, NM 63445",938-865-0853
cf77bd1c-9125-4b73-a37d-d86b21255a16,Michael Johnson,hflores@example.net,"Unit 1514 Box 7713
DPO AE 96016",001-969-513-2888x7438
0c2dfe40-8306-4519-9af1-280956005c85,Sarah Gardner,geraldspears@example.org,"55397 Holloway Unions Apt. 092
Pamchester, NE 99298",219-497-4010
ced3debf-cc13-43e0-9a07-19054a0df2d3,James James,daniel23@example.com,"400 Joshua Route
Langside, SD 71201",(329)484-1864x3046
15ed5b96-5af4-489d-8c63-822acd99a3f1,Samuel Campbell,deborahwatkins@example.com,"619 Gordon Run
West Charleschester, WV 49217",6008153093
e18dc6ba-ec38-49e7-9a6a-d6884576ba71,Kevin Ferguson,meagan86@example.org,"Unit 3929 Box 9639
DPO AP 79267",929-749-7185
3d1df5b2-632f-49fe-825f-d8e68ee16201,Andre Marks,kristin85@example.net,"847 Tucker Port
Phillipview, FM 16259",+1-331-302-2663x46498
0cab7b16-4688-44e9-836b-fcf41525faab,Carrie Vaughan,denise40@example.org,"493 Williamson Ridges Suite 390
Lake Nicholasburgh, DC 27913",8125119478
289c0762-e302-4764-9d32-67a9512d4b10,Joseph Patton,sosaronnie@example.com,"1816 Miller Forges Suite 621
Daleland, WY 83223",547.723.3886
4d73b692-6a5e-4c34-8907-a977f255118f,Darrell Daniels,maryhuang@example.net,"635 Morgan Hills Apt. 254
North Jeffview, CT 88961",455-520-1378x74867
1ca04fb6-106f-4268-9ded-8c59e38d307a,Rebecca Robles,julia56@example.com,"135 Sawyer Square Apt. 206
East Joshua, MI 86767",287-422-0341x4120
883fddef-8d1a-4ff6-a57c-05ba0453e3f2,Christine Ortega,josefrost@example.com,"705 Moore Courts
Port Taylor, NV 89697",001-989-851-1355x261
53b34bb2-bd83-409a-b0e7-6862be562212,Michael Reyes,tracy74@example.com,"19448 Yates Skyway
West Troychester, WA 55867",(204)304-8376x547
b2d25a92-2645-4df4-a90f-ed00f31d07cf,Dean Smith,zdavidson@example.com,"857 Kristine Green
New Kennethberg, AZ 21681",001-391-615-5804
430e3968-f8de-479c-9486-9a4245b879ec,Martha Dalton,thomashuynh@example.net,"120 Tyler Port Apt. 545
Mcgeehaven, OR 76476",374-420-9523x74777
0d192387-b75b-4e24-9a1a-e9aae398db5c,Douglas Suarez,lperez@example.org,"18468 Lori Lodge Suite 249
South Barbarafort, OH 23620",318-822-1560
fd5b374e-86c3-46ef-a770-09928151af71,Andrea Cannon,mary16@example.com,"6356 Jamie Forest
Williamsstad, NE 79801",4489605431
eb24001b-a084-456a-836b-b37f04531b1f,Matthew Rodriguez,kingjustin@example.org,"900 Chapman Green Suite 138
West Elizabeth, AL 61978",001-909-351-6434
491c77ce-df83-4fc4-8afc-ab4b2148ae9d,Lauren Tate,yarroyo@example.org,"987 White Knolls Suite 061
Aaronton, AS 11721",001-574-497-0790x709
0156526f-17b2-4741-b153-ffbfcfe34400,Traci Howell,john66@example.net,"190 Turner Ville
East Lisaland, KS 07983",474-899-3675
